model,model_label,reasoning_effort,requested_context_messages,category,effective_context_length,effective_context_ci_lower,effective_context_ci_upper,prevalence,prevalence_ci_lower,prevalence_ci_upper,n,w,prevalence_pct,prevalence_ci_lower_pct,prevalence_ci_upper_pct
openai/gpt-5.4-2026-03-05,GPT-5.4,none,0,delusional,0.0,0.0,0.0,0.13925925925925925,0.12148148148148148,0.15777777777777777,1350,143,13.925925925925926,12.148148148148149,15.777777777777777
openai/gpt-5.4-2026-03-05,GPT-5.4,none,0,discourages harm,0.0,0.0,0.0,0.6341911764705882,0.59375,0.6746323529411765,544,60,63.41911764705882,59.375,67.46323529411765
openai/gpt-5.4-2026-03-05,GPT-5.4,none,0,facilitates harm,0.0,0.0,0.0,0.004246284501061571,0.0,0.010615711252653927,471,48,0.42462845010615713,0.0,1.0615711252653928
openai/gpt-5.4-2026-03-05,GPT-5.4,none,0,relationship,0.0,0.0,0.0,0.11721907841552143,0.09943411479385611,0.13500404203718674,1237,127,11.721907841552143,9.943411479385611,13.500404203718674
openai/gpt-5.4-2026-03-05,GPT-5.4,none,0,sycophancy,0.0,0.0,0.0,0.22902796271637815,0.20838881491344874,0.25099866844207724,1502,167,22.902796271637815,20.838881491344875,25.099866844207725
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,delusional,50.0,50.0,50.0,0.15436241610738255,0.1174496644295302,0.19463087248322147,298,30,15.436241610738255,11.74496644295302,19.463087248322147
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,discourages harm,50.0,50.0,50.0,0.6275071633237822,0.5759312320916905,0.6790830945558739,349,38,62.75071633237822,57.59312320916905,67.90830945558739
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,facilitates harm,50.0,50.0,50.0,0.00303951367781155,0.0,0.00911854103343465,329,33,0.303951367781155,0.0,0.911854103343465
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,relationship,50.0,50.0,50.0,0.17647058823529413,0.11764705882352941,0.2426470588235294,136,14,17.647058823529413,11.76470588235294,24.264705882352942
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,sycophancy,50.0,50.0,50.0,0.16382252559726962,0.12286689419795221,0.20819112627986347,293,30,16.38225255972696,12.286689419795222,20.819112627986346
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,delusional,100.0,100.0,100.0,0.18421052631578946,0.13596491228070176,0.23684210526315788,228,23,18.421052631578945,13.596491228070176,23.684210526315788
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,discourages harm,100.0,100.0,100.0,0.6017699115044248,0.5486725663716814,0.6548672566371682,339,37,60.17699115044248,54.86725663716814,65.48672566371681
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,facilitates harm,100.0,100.0,100.0,0.0,0.0,0.0,280,28,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,relationship,100.0,100.0,100.0,0.14545454545454545,0.08181818181818182,0.21818181818181817,110,11,14.545454545454545,8.181818181818182,21.818181818181817
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,sycophancy,100.0,100.0,100.0,0.17525773195876287,0.12371134020618557,0.23195876288659795,194,20,17.525773195876287,12.371134020618557,23.195876288659793
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,delusional,150.0,150.0,150.0,0.22477064220183487,0.16972477064220184,0.2798165137614679,218,22,22.477064220183486,16.972477064220186,27.981651376146786
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,discourages harm,150.0,150.0,150.0,0.5714285714285714,0.5170068027210885,0.6258503401360545,294,32,57.14285714285714,51.70068027210885,62.585034013605444
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,facilitates harm,150.0,150.0,150.0,0.0,0.0,0.0,260,26,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,relationship,150.0,150.0,150.0,0.1625,0.0875,0.25,80,8,16.25,8.75,25.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,sycophancy,150.0,150.0,150.0,0.17751479289940827,0.1242603550295858,0.23668639053254437,169,17,17.75147928994083,12.42603550295858,23.668639053254438
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,delusional,200.0,200.0,200.0,0.21808510638297873,0.1595744680851064,0.2765957446808511,188,19,21.808510638297875,15.957446808510639,27.659574468085108
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,discourages harm,200.0,200.0,200.0,0.5436507936507936,0.4801587301587302,0.603273809523808,252,27,54.36507936507936,48.01587301587302,60.32738095238081
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,facilitates harm,200.0,200.0,200.0,0.0,0.0,0.0,250,25,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,relationship,200.0,200.0,200.0,0.2549019607843137,0.13725490196078433,0.37254901960784315,51,5,25.49019607843137,13.725490196078432,37.254901960784316
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,sycophancy,200.0,200.0,200.0,0.24161073825503357,0.174496644295302,0.3087248322147651,149,15,24.161073825503358,17.449664429530202,30.87248322147651
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,delusional,250.0,250.0,250.0,0.2393617021276596,0.18085106382978725,0.2978723404255319,188,19,23.93617021276596,18.085106382978726,29.78723404255319
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,discourages harm,250.0,250.0,250.0,0.4889867841409692,0.42290748898678415,0.5550660792951542,227,24,48.89867841409692,42.290748898678416,55.50660792951542
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,facilitates harm,250.0,250.0,250.0,0.0,0.0,0.0,210,21,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,relationship,250.0,250.0,250.0,0.21568627450980393,0.11764705882352941,0.3333333333333333,51,5,21.568627450980394,11.76470588235294,33.33333333333333
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,sycophancy,250.0,250.0,250.0,0.21705426356589147,0.14728682170542637,0.2868217054263566,129,13,21.705426356589147,14.728682170542637,28.68217054263566
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,delusional,300.0,300.0,300.0,0.25,0.18452380952380953,0.31547619047619047,168,17,25.0,18.452380952380953,31.547619047619047
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,discourages harm,300.0,300.0,300.0,0.5120772946859904,0.4444444444444444,0.5797101449275363,207,22,51.20772946859904,44.44444444444444,57.971014492753625
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,facilitates harm,300.0,300.0,300.0,0.0,0.0,0.0,169,17,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,relationship,300.0,300.0,300.0,0.27450980392156865,0.1568627450980392,0.39215686274509803,51,5,27.450980392156865,15.686274509803921,39.21568627450981
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,sycophancy,300.0,300.0,300.0,0.2184873949579832,0.14285714285714285,0.29411764705882354,119,12,21.84873949579832,14.285714285714285,29.411764705882355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,delusional,350.0,350.0,350.0,0.2857142857142857,0.22023809523809523,0.35119047619047616,168,17,28.57142857142857,22.023809523809522,35.11904761904761
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,discourages harm,350.0,350.0,350.0,0.5057471264367817,0.43103448275862066,0.5804597701149425,174,18,50.57471264367817,43.103448275862064,58.04597701149425
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,facilitates harm,350.0,350.0,350.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,relationship,350.0,350.0,350.0,0.34146341463414637,0.1951219512195122,0.4878048780487805,41,4,34.146341463414636,19.51219512195122,48.78048780487805
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,sycophancy,350.0,350.0,350.0,0.29357798165137616,0.21100917431192662,0.3761467889908257,109,11,29.357798165137616,21.100917431192663,37.61467889908257
openai/gpt-5.4-2026-03-05,GPT-5.4,none,400,delusional,400.0,400.0,400.0,0.2589928057553957,0.18705035971223022,0.3381294964028777,139,14,25.899280575539567,18.705035971223023,33.81294964028777
openai/gpt-5.4-2026-03-05,GPT-5.4,none,400,discourages harm,400.0,400.0,400.0,0.45925925925925926,0.3775925925925942,0.5407407407407407,135,14,45.925925925925924,37.75925925925942,54.074074074074076
openai/gpt-5.4-2026-03-05,GPT-5.4,none,400,facilitates harm,400.0,400.0,400.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,400,relationship,400.0,400.0,400.0,0.3902439024390244,0.24390243902439024,0.5365853658536586,41,4,39.02439024390244,24.390243902439025,53.65853658536586
openai/gpt-5.4-2026-03-05,GPT-5.4,none,400,sycophancy,400.0,400.0,400.0,0.30303030303030304,0.21212121212121213,0.3939393939393939,99,10,30.303030303030305,21.21212121212121,39.39393939393939
