model,model_label,reasoning_effort,requested_context_messages,category,effective_context_length,effective_context_ci_lower,effective_context_ci_upper,prevalence,prevalence_ci_lower,prevalence_ci_upper,n,w,prevalence_pct,prevalence_ci_lower_pct,prevalence_ci_upper_pct
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,delusional,50.0,50.0,50.0,0.19642857142857142,0.13690476190476192,0.25595238095238093,168,17,19.642857142857142,13.690476190476192,25.595238095238095
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,discourages harm,50.0,50.0,50.0,0.6954022988505747,0.6264367816091954,0.764367816091954,174,18,69.54022988505747,62.643678160919535,76.4367816091954
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,facilitates harm,50.0,50.0,50.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,relationship,50.0,50.0,50.0,0.2549019607843137,0.13725490196078433,0.37254901960784315,51,5,25.49019607843137,13.725490196078432,37.254901960784316
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,sycophancy,50.0,50.0,50.0,0.2184873949579832,0.14285714285714285,0.29411764705882354,119,12,21.84873949579832,14.285714285714285,29.411764705882355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,delusional,100.0,100.0,100.0,0.16666666666666666,0.1130952380952381,0.22023809523809523,168,17,16.666666666666664,11.30952380952381,22.023809523809522
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,discourages harm,100.0,100.0,100.0,0.6264367816091954,0.5517241379310345,0.6954022988505747,174,18,62.643678160919535,55.172413793103445,69.54022988505747
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,facilitates harm,100.0,100.0,100.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,relationship,100.0,100.0,100.0,0.21568627450980393,0.0980392156862745,0.3333333333333333,51,5,21.568627450980394,9.80392156862745,33.33333333333333
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,sycophancy,100.0,100.0,100.0,0.24369747899159663,0.16806722689075632,0.31932773109243695,119,12,24.369747899159663,16.80672268907563,31.932773109243694
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,delusional,150.0,150.0,150.0,0.20238095238095238,0.14285714285714285,0.2619047619047619,168,17,20.238095238095237,14.285714285714285,26.190476190476193
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,discourages harm,150.0,150.0,150.0,0.6206896551724138,0.5459770114942529,0.6896551724137931,174,18,62.06896551724138,54.59770114942529,68.96551724137932
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,facilitates harm,150.0,150.0,150.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,relationship,150.0,150.0,150.0,0.23529411764705882,0.11764705882352941,0.35294117647058826,51,5,23.52941176470588,11.76470588235294,35.294117647058826
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,sycophancy,150.0,150.0,150.0,0.23529411764705882,0.15966386554621848,0.31092436974789917,119,12,23.52941176470588,15.966386554621847,31.092436974789916
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,delusional,200.0,200.0,200.0,0.19047619047619047,0.13095238095238096,0.25,168,17,19.047619047619047,13.095238095238097,25.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,discourages harm,200.0,200.0,200.0,0.5804597701149425,0.5057471264367817,0.6551724137931034,174,18,58.04597701149425,50.57471264367817,65.51724137931035
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,facilitates harm,200.0,200.0,200.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,relationship,200.0,200.0,200.0,0.2549019607843137,0.13725490196078433,0.37254901960784315,51,5,25.49019607843137,13.725490196078432,37.254901960784316
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,sycophancy,200.0,200.0,200.0,0.2857142857142857,0.21008403361344538,0.3697478991596639,119,12,28.57142857142857,21.008403361344538,36.97478991596639
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,delusional,250.0,250.0,250.0,0.22023809523809523,0.16071428571428573,0.2857142857142857,168,17,22.023809523809522,16.071428571428573,28.57142857142857
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,discourages harm,250.0,250.0,250.0,0.5402298850574713,0.46551724137931033,0.6149425287356322,174,18,54.02298850574713,46.55172413793103,61.49425287356321
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,facilitates harm,250.0,250.0,250.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,relationship,250.0,250.0,250.0,0.21568627450980393,0.11764705882352941,0.3333333333333333,51,5,21.568627450980394,11.76470588235294,33.33333333333333
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,sycophancy,250.0,250.0,250.0,0.23529411764705882,0.15966386554621848,0.31092436974789917,119,12,23.52941176470588,15.966386554621847,31.092436974789916
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,delusional,300.0,300.0,300.0,0.25,0.18452380952380953,0.31547619047619047,168,17,25.0,18.452380952380953,31.547619047619047
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,discourages harm,300.0,300.0,300.0,0.5287356321839081,0.4540229885057471,0.603448275862069,174,18,52.87356321839081,45.40229885057471,60.3448275862069
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,facilitates harm,300.0,300.0,300.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,relationship,300.0,300.0,300.0,0.27450980392156865,0.1568627450980392,0.39215686274509803,51,5,27.450980392156865,15.686274509803921,39.21568627450981
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,sycophancy,300.0,300.0,300.0,0.2184873949579832,0.14285714285714285,0.29411764705882354,119,12,21.84873949579832,14.285714285714285,29.411764705882355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,delusional,350.0,350.0,350.0,0.2857142857142857,0.22023809523809523,0.35119047619047616,168,17,28.57142857142857,22.023809523809522,35.11904761904761
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,discourages harm,350.0,350.0,350.0,0.5057471264367817,0.43103448275862066,0.5804597701149425,174,18,50.57471264367817,43.103448275862064,58.04597701149425
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,facilitates harm,350.0,350.0,350.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
