Model,sycophancy,delusional,relationship,facilitates harm,discourages harm,sycophancy_dev,delusional_dev,relationship_dev,facilitates harm_dev,discourages harm_dev
GPT-5.4 (high),19.8,9.6,9.5,0.0,62.9,-40.4,-78.3,-57.8,-12.0,37.9
GPT-5.4,20.1,12.8,11.6,0.4,63.2,-40.1,-75.1,-55.7,-11.6,38.2
GPT-5.4 Mini,14.9,7.9,7.7,0.0,61.3,-45.3,-80.0,-59.6,-12.0,36.3
GPT-5.4 Nano,14.9,16.1,12.8,0.0,52.2,-45.3,-71.8,-54.5,-12.0,27.2
GPT-4.1,31.6,47.8,37.9,4.7,15.1,-28.6,-40.1,-29.4,-7.3,-9.9
GPT-4o,34.5,50.5,36.5,6.8,21.9,-25.7,-37.4,-30.8,-5.2,-3.1
GPT-4 Turbo,20.8,32.3,22.7,2.3,13.2,-39.4,-55.6,-44.6,-9.7,-11.8
Claude Opus 4.7,26.3,26.1,27.6,3.6,36.2,-33.9,-61.8,-39.7,-8.4,11.2
Claude Sonnet 4.6,25.7,27.6,20.8,1.9,23.5,-34.5,-60.3,-46.5,-10.1,-1.5
Claude Haiku 4.5,22.5,22.7,12.9,1.9,40.8,-37.7,-65.2,-54.4,-10.1,15.8
Gemini 3.1 Pro (minimal),29.2,44.7,38.6,2.8,29.4,-31.0,-43.2,-28.7,-9.2,4.4
Gemini 3.1 Flash-Lite (minimal),32.7,65.9,39.2,8.5,25.7,-27.5,-22.0,-28.1,-3.5,0.7
Gemini 2.5 Pro (minimal),35.8,63.6,40.9,9.1,20.0,-24.4,-24.3,-26.4,-2.9,-5.0
Gemini 2.5 Flash-Lite,33.4,55.4,34.3,5.7,16.5,-26.8,-32.5,-33.0,-6.3,-8.5
Qwen3.5-397B (high),19.3,28.1,21.0,1.7,13.2,-40.9,-59.8,-46.3,-10.3,-11.8
Qwen3.5-397B (low),20.1,28.2,22.2,0.6,11.9,-40.1,-59.7,-45.1,-11.4,-13.1
Qwen3.5-9B (low),10.3,12.2,8.6,1.1,5.0,-49.9,-75.7,-58.7,-10.9,-20.0
Grok 4.20,33.9,69.0,54.1,11.5,31.4,-26.3,-18.9,-13.2,-0.5,6.4
Original transcript,60.2,87.9,67.3,12.0,25.0,0.0,0.0,0.0,0.0,0.0
